,0
card2spent,1.1905501796599707
cardmon,1.0785611343249413
cardspent,1.5071903540770195
cardten,0.83379404900715
carvalue,1.0981884426894197
commutetime,4.402769322599167
creddebt,0.7386729002080773
debtinc,1.5885298305160105
employ,1.012240146851453
equipten,0.5249518818799583
hourstv,3.8342878088314807
income,1.1517696944983413
lncreddebt,-0.10294432433868828
lnlongmon,3.000338193884329
lnothdebt,0.6324271127597966
longmon,1.149093153582829
othdebt,0.8344525869411735
pets,0.9099706239981243
tollmon,0.8311315969550235
tollten,0.6233297945001292
wiremon,0.5536600619506992
wireten,0.44085780718787093
townsize,1.884148152981516
active_1,0.9341622857030625
bfast_2,0.6680873879086439
bfast_3,0.7745966692414834
birthmonth_August,0.2972812520071635
birthmonth_December,0.29408185481529237
birthmonth_February,0.3020373133065149
birthmonth_January,0.30282512572202863
birthmonth_July,0.30006176240915516
birthmonth_June,0.30282512572203096
birthmonth_March,0.30124813078288054
birthmonth_May,0.31486928830610394
birthmonth_November,0.2944830694630743
birthmonth_October,0.2988722448411355
birthmonth_September,0.3175478481162064
callcard_1,1.588586848356385
callid_1,0.9515712295346
callwait_1,0.9588460755226272
carbought_0,1.1756218388394108
carbought_1,0.6866249313495454
carbuy_1,0.7516283835227822
carcatvalue_1,0.960384070294798
carcatvalue_2,0.5825850187268968
carcatvalue_3,0.4483937221889755
card_2,0.576426508167235
card_3,0.5619514869490374
card_4,0.6063125263837476
card_5,0.21606021846451842
card2_2,0.5930570631767716
card2_3,0.6186625597462877
card2_4,0.543757716270411
card2_5,0.2722386013568762
card2benefit_2,0.5668801156674067
card2benefit_3,0.5884364064329778
card2benefit_4,0.5909005996091812
card2fee_1,0.479911409147494
card2tenurecat_2,0.5059306649425646
card2tenurecat_3,0.47896495239303627
card2tenurecat_4,0.42337369193051716
card2tenurecat_5,0.7905437217609322
card2type_2,0.5727313928360864
card2type_3,0.5795057176911586
card2type_4,0.5986038270013454
cardbenefit_2,0.5714996355008061
cardbenefit_3,0.5847406534325107
cardbenefit_4,0.5773502691896258
cardfee_1,0.48400738104133073
cardtype_2,0.5745789718963715
cardtype_3,0.5795057176911586
cardtype_4,0.580429492463942
carown_0,0.4361110079273496
carown_1,1.6905693394113634
cars_1,0.5369615913450133
cars_2,0.6882021238541436
cars_3,0.5255105201508147
cars_4,0.32625063641403285
cars_5,0.1752578569696628
cars_6,0.1015140982517623
cars_7,0.05105661193045313
cars_8,0.014143550049460772
cartype_0,0.9181384715044973
cartype_1,0.8921754376210114
churn_1,0.5822770807971467
commutebike_1,0.3751948311278128
commutebus_1,0.8267416062480845
commutecar_1,1.4543949936340546
commutecarpool_1,0.6109411652426645
commutecat_2,0.25039819510236716
commutecat_3,0.4940552294971352
commutecat_4,0.39200595194336246
commutecat_5,0.1776679967301444
commutemotorcycle_1,0.3381276201335946
commutenonmotor_1,0.2490423459162606
commutepublic_1,0.3247475592325593
commuterail_1,0.6152639804560065
commutewalk_1,0.7892082894366871
confer_1,0.9569267538639311
default_1,0.5530135395523068
ebill_1,0.7315429246873294
edcat_2,0.6756123760904005
edcat_3,0.5068658812929829
edcat_4,0.5344881215424048
edcat_5,0.27603365008516006
empcat_2,0.5557882002707447
empcat_3,0.48997894350609883
empcat_4,0.393023905568931
empcat_5,0.5419050293197932
forward_1,0.9619243323958804
gender_1,1.007226107639016
homeown_1,1.3037576528168784
hometype_2,0.6696534099482856
hometype_3,0.46725109603363757
hometype_4,0.24858913849794423
inccat_2,0.7490237167505277
inccat_3,0.44903699462591273
inccat_4,0.38655567174252753
inccat_5,0.28842487435305875
internet_1,0.42796251787521444
internet_2,0.349763428145058
internet_3,0.36857474427478326
internet_4,0.3640093834739398
jobcat_2,0.6986381310057787
jobcat_3,0.37623464940848206
jobcat_4,0.21042186214088593
jobcat_5,0.31525282673899985
jobcat_6,0.3994430259540301
jobsat_2,0.5096696621588146
jobsat_3,0.5264401278148102
jobsat_4,0.5049951290074901
jobsat_5,0.4662978124182812
multline_1,0.9770629825815834
news_1,0.9466224412429111
owncd_1,3.725715016067557
owndvd_1,3.25178013925831
ownfax_1,0.46661563518438626
owngame_1,0.950808370546846
ownipod_1,0.9592303622513164
ownpc_1,1.3127496131558505
ownpda_1,0.5015620156765062
owntv_1,7.604178417933459
ownvcr_1,3.293682017473467
pager_1,0.5674961008073448
pets_birds_1,0.17220347337908604
pets_birds_2,0.13384808346127264
pets_birds_3,0.09948361928965023
pets_birds_4,0.06337242505245022
pets_birds_5,0.014143550049461042
pets_dogs_1,0.41015155621478516
pets_dogs_2,0.2785430072655724
pets_dogs_3,0.15479237678222602
pets_dogs_4,0.08515994337054923
pets_dogs_5,0.028295591748713614
pets_dogs_7,0.014143550049460982
pets_cats_1,0.4758066360074978
pets_cats_2,0.319452363665605
pets_cats_3,0.18181818181817944
pets_cats_4,0.0827439217391629
pets_cats_5,0.03163859985841576
pets_cats_6,0.02000400120040049
pets_freshfish_1,0.05840889862075058
pets_freshfish_2,0.11296364858825383
pets_freshfish_3,0.1633831238976019
pets_freshfish_4,0.2155526738674015
pets_freshfish_5,0.2346804429828496
pets_freshfish_6,0.22989830851796425
pets_freshfish_7,0.21908519621984154
pets_freshfish_8,0.16594583124231047
pets_freshfish_9,0.1499829574503789
pets_freshfish_10,0.10448881981066498
pets_freshfish_11,0.08396038004871902
pets_freshfish_12,0.060108292477567236
pets_freshfish_13,0.028295591748713142
pets_freshfish_14,0.02829559174871372
pets_freshfish_15,0.03163859985841663
pets_freshfish_16,0.014143550049461204
pets_reptiles_1,0.15274805691303966
pets_reptiles_2,0.09636091489006333
pets_reptiles_3,0.061761598759334874
pets_reptiles_4,0.014143550049461327
pets_reptiles_5,0.014143550049460765
pets_reptiles_6,0.0141435500494612
pets_saltfish_1,0.024502249205525045
pets_saltfish_2,0.046955837459011274
pets_saltfish_3,0.04695583745901271
pets_saltfish_4,0.04476614810358236
pets_saltfish_5,0.040032038451270194
pets_saltfish_6,0.04695583745901017
pets_saltfish_7,0.024502249205524997
pets_saltfish_8,0.014143550049461143
pets_small_1,0.12588572825633362
pets_small_2,0.12992386813470275
pets_small_3,0.1005037815259167
pets_small_4,0.07229924856444563
pets_small_5,0.04476614810358549
pets_small_6,0.024502249205525052
pets_small_7,0.014143550049461403
polcontrib_1,0.5594865593417327
polparty_1,0.7852092128350847
polview_2,0.3772730213018726
polview_3,0.38962589633183453
polview_4,0.728324155792356
polview_5,0.46629781241828133
polview_6,0.4503226331192283
polview_7,0.13229141128968314
reason_2,0.2696871772404199
reason_3,0.1073846293859711
reason_4,0.1464597543788333
reason_9,2.067428742030994
region_2,0.49843700774186034
region_3,0.5009373250744573
region_4,0.48935115337948965
region_5,0.5084238784431078
reside_2,0.6443817592732669
reside_3,0.3522793201771383
reside_4,0.34105807024378787
reside_5,0.247225693029106
reside_6,0.1421265604734134
reside_7,0.07637955387570015
reside_8,0.03744279300275609
reside_9,0.020004001200401442
response_01_1,0.3020373133065148
response_02_1,0.3862138169303965
response_03_1,0.3381276201335948
retire_1,0.4161227483778269
spousedcat_1,0.37136954519558646
spousedcat_2,0.4328584309882605
spousedcat_3,0.3359199294120477
spousedcat_4,0.29247324530357527
spousedcat_5,0.14645975437883332
telecommute_1,0.4811726234897918
tollfree_1,0.9523346398241157
union_1,0.42205904326736343
voice_1,0.6593331703738363
vote_1,1.0366719812363716
addresscat_2,0.4599280397986801
addresscat_3,0.568420046764163
addresscat_4,0.5431402167039984
addresscat_5,0.5486956121907502
agecat_3,0.46629781241828244
agecat_4,0.5687280208261578
agecat_5,0.5604109624021725
agecat_6,0.5211693558304645
wireless_1,0.6063125263837489
equip_1,0.7190203691566222
